OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_7839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143156773,0,0.016406442,0.007707367,0,0,0,0,0.001812694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001949793,0,0,0,0.001206571,0,0,0,0.17223964
OTU_1509,0.005964249,0,0.000665305,0,0,0.000980825,0.002083659,0,0,0,0,0,0,0,0,0.002219485,0.025687131,0,0.001541473,0.023851169,0.00619903,0,0,0.003625389,0,0.027654018,0,0,0,0,0.012714962,0,0,0,0,0,0,0,0,0,0,0,0,0.006919868,0,0,0,0,0,0,0,0.030067325,0,0,0.001949793,0,0,0,0.019908421,0,0,0,0.1720321
OTU_1961,0.002556107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006658455,0.108792554,0.010937628,0,0,0,0,0,0.000906347,0,0.012290674,0,0,0,0,0,0,0.005161646,0,0,0,0,0,0,0,0,0,0,0.002965658,0,0,0,0,0,0,0,0,0,0,0.006824275,0,0,0,0.014478852,0,0,0,0.171572195
OTU_1267,0,0,0,0,0,0,0,0,0,0.078114511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089392363,0,0.002384055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001355252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171246182
OTU_3007,0.005964249,0,0,0.052267588,0.00278505,0.000980825,0,0,0,0,0.003023112,0,0,0.010382539,0,0.002219485,0,0,0.001541473,0.00227154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120957,0,0,0,0.014509002,0.011409273,0.00790842,0,0,0,0,0,0.042551285,0,0.001960912,0,0,0.007799171,0,0,0,0.000603285,0,0,0.001807664,0.171194446
OTU_967,0,0,0,0,0,0,0,0,0,0,0.081624016,0,0,0,0,0,0,0,0,0,0,0.03621977,0,0,0,0,0,0,0,0,0,0,0.051616455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001662814,0,0.171123056
OTU_1627,0,0,0,0.166155911,0.004873837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171029749
OTU_1384,0.005112213,0.001648723,0,0,0,0.003923299,0.016669271,0.001897065,0,0,0,0.001900671,0.013894437,0.003460846,0,0.003329227,0.001511008,0,0,0,0,0,0.024410288,0.001812694,0.016661807,0,0.046276865,0.003538821,0,0.001596602,0,0,0,0,0,0,0,0.00120957,0,0,0,0,0,0,0,0,0,0,0.00587276,0,0,0.003268187,0,0,0.003899586,0,0,0,0.009049282,0,0,0,0.170943224
OTU_3485,0,0.008243615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000906347,0,0.003072669,0.006457237,0,0,0,0.030992721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11211102,0,0,0.009035015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170818624
OTU_3639,0,0,0,0,0,0,0,0.011382391,0.126209508,0,0,0,0,0.003460846,0,0,0,0.002734407,0,0,0,0.016716817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009976887,0,0.170480857
OTU_2493,0,0,0,0,0,0.005884949,0,0,0,0,0.006046223,0,0,0,0,0,0,0,0,0.00908616,0,0,0.012205144,0.001812694,0.001041363,0.027654018,0.030133772,0,0,0,0.008741537,0.017813358,0,0,0,0,0,0,0,0.004273383,0,0,0,0.000988553,0,0,0,0,0.037495313,0,0,0.001307275,0,0,0.005849379,0,0,0,0,0,0,0,0.17033312
OTU_3165,0,0,0.053889706,0,0.002088787,0,0.004167318,0,0,0.001220539,0.003023112,0,0,0,0,0,0,0,0.00924884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01204384,0,0,0,0,0,0,0,0,0,0,0.006919868,0,0,0,0,0,0,0.01979862,0,0,0,0.000974896,0,0,0,0.006032855,0,0,0.050614606,0.170022986
OTU_609,0,0,0,0.00110037,0.168495516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169595886
OTU_2584,0.006816284,0,0.017963235,0,0,0.007846599,0,0,0,0,0,0,0,0.004614462,0,0.012207167,0.012088062,0.006836018,0.007707367,0.021579629,0,0.005572272,0,0,0,0,0,0,0,0,0,0,0.024087679,0,0,0.01161953,0.006860357,0.00483828,0,0,0,0,0,0.002965658,0,0,0,0,0,0,0,0.001960912,0,0.004833954,0,0,0,0,0.009049282,0,0,0,0.169446747
OTU_5232,0.004260178,0,0,0,0,0.000980825,0,0,0,0.018308089,0.006046223,0.005702013,0,0.003460846,0,0.006658455,0,0.012304832,0.00924884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003441097,0,0,0,0,0,0.012402991,0,0,0,0,0.002965658,0,0,0,0,0,0,0,0,0,0,0.000974896,0,0,0,0.015685423,0,0,0.066883586,0.169323951
OTU_1551,0,0,0,0,0,0,0,0.007588261,0.1088013,0.04760103,0.003023112,0,0,0.002307231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169320933
OTU_2577,0,0,0,0.036862404,0.006266362,0.000980825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067101392,0,0,0,0,0,0,0,0,0.022423003,0.027382256,0,0,0,0,0,0,0,0.002828374,0,0,0,0,0,0,0,0,0,0,0.005422993,0.169267611
