Kingdom,Phylum,Class,Order,Family,Genus,Species,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S3,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S4,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S5,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S6,S60,S61,S62,S7,S8,S9
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp,0.0446551980777,0.0821536905966,0.0666653968496,0.0440689403486,0.00229097698714,0.00373644604198,0.359980982137,0.277234392611,0.00202922077922,0.00334884967014,0.0436092069938,0,0.0490773458971,0.00168296336189,0.0052688426987,0.0156835683255,0.0392778486961,0.0701467235635,0.0607309801612,0.0151037121568,0.0768558026131,0.0210985813023,0.143640637242,0.257454900225,0.0273786466836,0.329881190201,0.140087001401,0.0460177785759,0.0892956803215,0.0361836280631,0.0515225811036,0.11989749222,0.0118980338499,0.104654238497,0.00816343190677,0.00779646040698,0.0027868349915,0.00785021784355,0.00129399585921,0.0198404825205,0.00490244141583,0.0124570232697,0.0187167140256,0,0.0362755537873,0.0257849234036,0.0179927309367,0.0432206594752,0.0614027980914,0.237952015672,0.0575495986673,0,0.104623790287,0,0.0314712824548,0.047258979206,0,0,0,0,0,0.158777642267
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus funiculus,3.24494439365,0,0,0,0,0,0,0,0,0.00502327450521,0.00272557543711,0.0106333959522,0.00245386729486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214813541846,0,0,0,0,0.0104134124753,0.246220401776
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,Unknown,0,0,0,0,0.927272935543,1.03723742125,0.00135841880052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170151945687,1.37176843014,0,0.00151676020021,0,0,0.000426408320079,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,TM7,TM7 (class),TM7 (order),TM7 (family),TM7 (genus),TM7 uncultured,0.0170115040296,0.023171553758,0.161901678063,0.0626605245581,0.021191537131,0.000747289208397,0.0176594444067,0.417147076732,0,0.00837212417535,0.0231673912155,0.0248112572218,0.0122693364743,0.0269274137902,0.0184409494455,0.00313671366509,0.0224444849692,0.0155881607919,0.0110419963929,0.0134255219172,0.00530040018021,0.0210985813023,0.208931835989,0.0397474231926,0.00304207185374,0.0170854799706,0.0737300007373,0.0101014635898,0.0260445734271,0.0238657972331,0.0408627367374,0.0054914881933,0.00297450846248,0.0253010246915,0.0306128696504,0.114348085969,0.011147339966,0.0196255446089,0.00388198757764,0.234117693742,0,0,0.00340303891375,0,0.00585089577214,0.0485363264068,0.00359854618734,0.329557528499,0.0677989228926,0.0457804772881,0.00302892624565,0.635027604261,0.0130779737859,0.0517179348804,0.246525045896,0.0343701666953,0.0172866823399,0.00161077284881,0.0123956057578,0,0,0.0115056262512
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,0.021264380037,0.0136922817661,0.1961867393,0,0,0,0.0217347008083,0.040160122294,0,0.00334884967014,0.737268155739,0,0,0,0,0,0,0,0,0.00335638047929,0.00265020009011,0,0.00261164794986,0.00722680421684,0,0.0289138891809,0,0.00112238484332,0.00372065334673,0.0869946802368,0.0941619585687,0.00823723228995,1.1283302101,0.0494520028061,0.0428580175106,0.0415811221705,0,0,0.00258799171843,0,0,0.0398624744631,0,0,0.0234035830886,0.0667374488093,0.316672064486,0.189090385204,0.0835760307355,0.0191639207252,0.0151446312282,0,0.00653898689296,0,0,0.026493670161,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria (class),Rubrobacterales,Rubrobacteraceae,Rubrobacter,Unknown,0,0.011585776879,0.0495228662311,0.000688577192946,0.000572744246784,0,0,0.108820976539,0.00405844155844,0.00669769934028,0.00136278771856,0.131145216744,0.132508833922,0.87345798482,0.0158065280961,0.128605260269,0.133264129505,0.0818378441574,0.11962162759,0.0352419950326,0.198765006758,0.246635140051,0.0496213110473,0.000903350527105,0.0436030299036,0.00394280307013,0.110595001106,0,0.0372065334673,0,0,0.0622368661907,0,0.0080503260382,0,0,0.0139341749575,0.0157004356871,0.0271739130435,0.0773778818301,0.00245122070791,0,0,0,0.0128719706987,0,0,0,0.00639612480119,0,0,0,0.00290621639687,0,0,0.0207653090451,0,0,0,0,0.322815786733,0.177186644269
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Unknown,Unknown,0.0701724541221,0.011585776879,0.0285708843641,0.0268545105249,0.101375731681,0.0141984949595,0.107315085241,0.136026220673,0.0629058441558,0.097116640434,0.461985036591,0.0248112572218,0.0809776207303,0.0134637068951,0.0513712163123,0,0.108014083914,0.11496268584,0.0552099819647,0.14432436061,0.00132510004505,0.010185522008,0.148863933142,0.0252938147589,0.00202804790249,0.060456313742,0,0.00224476968663,0.0186032667336,0.0508110521737,0.024872970188,0.000915248032217,0,0,0.0653074552542,0.00519764027132,0.0250815149235,0.113828158731,0.0996376811594,0.0317447720329,0,0,0.0068060778275,0.00959278622476,0.0959546906631,0.101622933414,0.010795638562,0.0162077473032,0.000426408320079,0,0,0,0.00871864919062,0,0.00524521374246,0.102394454946,0,0,0,0.0795878188749,0.0624804748516,0.352072163288
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unknown,Unknown,0,0,0.123807165578,0,0,0,0.00135841880052,0,0,0,0,0,0,0,0.0118548960721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384932213437,0,0,0.000991502820826,0.00920037261509,0.00612257393008,0,0.0027868349915,0.0235506535306,0.0258799171843,0.00992024126027,0,0,0.0153136751119,0,0.0234035830886,0,0,0,0,0.00106466226251,0,2.90816723258,0.00217966229765,0,0,0,0,0,0.027890112955,0,0,0
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes sp,0.0127586280222,0.108485001685,0.0304756099884,0.00826292631535,0.0326464220667,0.511145818543,0.118182435645,0.246142685028,0.00608766233766,0.0418606208767,0.145818285886,0.0248112572218,0.0220848056537,0.0134637068951,0.0355646882162,0.00627342733019,0.0701390155288,0.189006449602,0.0312856564467,0.0302074243136,0.025176900856,0.00363768643143,0.0496213110473,0.0596211347889,0.0131823113662,0.0867416675428,0.125341001253,0.0359163149861,0,0.0408028146243,0.0710656291085,0.042101409482,0.0317280902664,0.0322013041528,0.00204085797669,0.00779646040698,0.050163029847,0.0667268516701,0.0116459627329,0.075393833578,0,0.0398624744631,0.00850759728437,0,0.0620194951847,0.00303352040042,0.00359854618734,0.00180086081147,0.00127922496024,0.125097815845,0.23625624716,0,0.0217966229765,0,0,0.0393824826717,0,0,0,0,0.0624804748516,0.0253123777527
Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Thermomonosporaceae,Unknown,Unknown,0,0,0,0,0,0,0,0.00129548781594,0,0,0,0,0,0,0,0,0.00981946217403,0,0.00184033273216,0,0,0,0,0,0,0,0,0,0,0,0,0.000915248032217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652095700666,2.96354576449,0.000716045139486,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria (class),Unknown,Unknown,Unknown,Unknown,0.0446551980777,0.169573643411,0.00952362812137,0.0358060140332,0.00286372123392,0.0702451855893,0.0326020512124,0.0453420735578,0.00405844155844,0.00334884967014,0.0109023017485,0.0319001878567,0.154593639576,0.0387081573234,0.0395163202403,0.0250937093207,0.133264129505,0.175366808909,0.130663623983,0.139289789891,0.0132510004505,0.0371044016006,0.0443980151476,0.00993685579816,0.306235233276,0.0118284092104,0.17695200177,0.0224476968663,0,0.000769864426874,0,0.0658978583196,0.022804564879,0.0448518164986,0,0,0.0640972048045,0.0117753267653,0.00905797101449,0.249990079759,0,0.00498280930789,0,0,0.0667002118024,0,0.111554931808,0.0738352932702,0.0422144236878,0,0,0,0.0188904065797,0,0.0734329923944,0.162542246663,0,0,0,0,0.0124960949703,0.0851416342592
