Sample,#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,S46
S46,182,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Mycobacteriaceae , Mycobacterium , Mycobacterium sp,0
S46,5748,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,342,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Burkholderiaceae , Limnobacter , Limnobacter sp,0
S46,3148,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12180,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12356,Bacteria , Proteobacteria , Alphaproteobacteria , Rhizobiales , Rhizobiaceae , Rhizobium , Rhizobium sp,0
S46,4075,Bacteria , Planctomycetes , Planctomycetia , Planctomycetales , Planctomycetaceae , Gemmata , Gemmata sp,0
S46,13632,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Dyadobacter , Dyadobacter sp,0
S46,9992,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,13411,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,3781,Bacteria , Proteobacteria , Betaproteobacteria , Nitrosomonadales , Nitrosomonadaceae , Nitrosovibrio , Nitrosovibrio sp,0
S46,5542,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0.00122561
S46,13751,Bacteria , Proteobacteria , Gammaproteobacteria , Xanthomonadales , Xanthomonadaceae , Dokdonella , Dokdonella sp,0
S46,6154,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Flavisolibacter , Flavisolibacter sp,0
S46,8583,Bacteria , Proteobacteria , Alphaproteobacteria , Parvularculales , Parvularculaceae , Parvularcula , Parvularcula sp,0
S46,2190,Bacteria , Proteobacteria , Alphaproteobacteria , Rhizobiales , Phyllobacteriaceae , Aminobacter , Aminobacter sp,0
S46,4024,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,6175,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Micromonosporaceae , Actinoplanes , Actinoplanes sp,0
S46,711,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9265,Bacteria , Actinobacteria , Actinobacteria (class) , Solirubrobacterales , Patulibacteraceae , Patulibacter , Patulibacter americanus,0
S46,6647,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,11990,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Flavisolibacter , Flavisolibacter ginsengisoli,0
S46,8288,Bacteria , Firmicutes , Bacilli , Bacillales , Paenibacillaceae , Ammoniphilus , Ammoniphilus sp,0
S46,9988,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,5708,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12043,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Flexibacter , Flexibacter sp,0
S46,3492,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Acetobacteraceae , Stella , Stella sp,0
S46,5521,Bacteria , Firmicutes , Clostridia , Clostridiales , Eubacteriaceae , Eubacterium , Eubacterium sp,0
S46,10436,Bacteria , Proteobacteria , Alphaproteobacteria , Caulobacterales , Caulobacteraceae , Asticcacaulis , Asticcacaulis excentricus,0
S46,5296,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9748,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Burkholderiales (family) , Aquabacterium , Aquabacterium sp,0
S46,8509,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Microbacteriaceae , Curtobacterium , Curtobacterium citreum,0
S46,11163,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Runella , Runella sp,0
S46,4069,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,10020,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,5061,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,4648,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Sediminibacterium , Sediminibacterium sp,0
S46,5835,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Kineosporiaceae , Kineosporia , Kineosporia aurantiaca,0
S46,4779,Bacteria , Bacteroidetes , Flavobacteriia , Flavobacteriales , Flavobacteriaceae , Flavobacterium , Flavobacterium sp,0
S46,10113,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,13450,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,10600,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,13845,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Rhodospirillaceae , Azospirillum , Azospirillum sp,0
S46,22,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Burkholderiales (family) , Methylibium , Methylibium subsaxonicum,0
S46,1304,Bacteria , Proteobacteria , Alphaproteobacteria , Rickettsiales , Rickettsiales (family) , Odyssella , Odyssella thessalonicensis,0
S46,3301,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Chitinophaga , Chitinophaga sp,0
S46,2522,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Hymenobacter , Hymenobacter sp,0
S46,5014,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,1025,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,7981,Bacteria , Proteobacteria , Gammaproteobacteria , Pseudomonadales , Pseudomonadaceae , Pseudomonas , Pseudomonas gessardii,0
S46,12229,Bacteria , Proteobacteria , Betaproteobacteria , Rhodocyclales , Rhodocyclaceae , Ferribacterium , Ferribacterium sp,0
S46,4524,Bacteria , Firmicutes , Clostridia , Clostridiales , Eubacteriaceae , Eubacterium , Eubacterium sp,0
S46,10089,Bacteria , Nitrospirae , Nitrospira (class) , Nitrospirales , Nitrospiraceae , Nitrospira , Nitrospira sp,0
S46,8722,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,9259,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,6016,Bacteria , Chloroflexi , Chloroflexi (class) , Chloroflexales , Chloroflexaceae , Roseiflexus , Roseiflexus sp,0
S46,10127,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,4612,Bacteria , Actinobacteria , Actinobacteria (class) , Solirubrobacterales , Conexibacteraceae , Conexibacter , Conexibacter sp,0
S46,1463,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Burkholderiaceae , Ralstonia , Ralstonia sp,0
S46,13403,Bacteria , Planctomycetes , Planctomycetia , Planctomycetales , Planctomycetaceae , Pirellula , Pirellula sp,0
S46,424,Bacteria , Bacteroidetes , Bacteroidia , Bacteroidales , Porphyromonadaceae , Proteiniphilum , Proteiniphilum sp,0
S46,9776,Bacteria , Acidobacteria , Acidobacteriia , Acidobacteriales , Acidobacteriaceae , Acidobacterium , Acidobacterium sp,0
S46,3747,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,13778,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodospirillales , Rhodospirillaceae , Azospirillum , Azospirillum halopraeferens,0
S46,1399,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Massilia , Massilia sp,0
S46,9944,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,2540,Bacteria , Proteobacteria , Alphaproteobacteria , Caulobacterales , Caulobacteraceae , Phenylobacterium , Phenylobacterium sp,0
S46,4130,Bacteria , Actinobacteria , Actinobacteria (class) , Solirubrobacterales , Solirubrobacteraceae , Solirubrobacter , Solirubrobacter sp,0
S46,12769,Bacteria , Proteobacteria , Alphaproteobacteria , Rhizobiales , Hyphomicrobiaceae , Rhodoplanes , Rhodoplanes sp,0
S46,13311,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,6584,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Sphingobacteriaceae , Pedobacter , Pedobacter ginsengisoli,0
S46,1951,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Runella , Runella sp,0
S46,2755,Bacteria , Planctomycetes , Planctomycetia , Planctomycetales , Planctomycetales (family) , Nostocoida (Planctomycetales) , Nostocoida limicola planctomycetales,0
S46,7667,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,11405,Bacteria , Acidobacteria , Acidobacteriia , Acidobacteriales , Acidobacteriaceae , Acidobacterium , Acidobacterium sp,0
S46,7510,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12959,Bacteria , Actinobacteria , Actinobacteria (class) , Solirubrobacterales , Solirubrobacteraceae , Solirubrobacter , Solirubrobacter sp,0
S46,10880,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Duganella , Duganella sp,0
S46,3491,Bacteria , Firmicutes , Clostridia , Clostridiales , Clostridiaceae , Clostridium , Clostridium sp,0
S46,2206,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,8031,Bacteria , Actinobacteria , Actinobacteria (class) , Actinomycetales , Pseudonocardiaceae , Pseudonocardia , Pseudonocardia sp,0
S46,9161,Bacteria , Proteobacteria , Betaproteobacteria , Nitrosomonadales , Nitrosomonadaceae , Nitrosovibrio , Nitrosovibrio sp,0
S46,11910,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,1151,Bacteria , Proteobacteria , Alphaproteobacteria , Sphingomonadales , Sphingomonadaceae , Sphingomonas , Sphingomonas melonis,0.00122561
S46,13526,Bacteria , Acidobacteria , Acidobacteriia , Acidobacteriales , Acidobacteriaceae , Acidobacterium , Acidobacterium sp,0
S46,13243,Bacteria , Acidobacteria , Acidobacteriia , Acidobacteriales , Acidobacteriaceae , Acidobacterium , Acidobacterium sp,0
S46,6395,Bacteria , Acidobacteria , Acidobacteriia , Acidobacteriales , Acidobacteriaceae , Acidobacterium , Acidobacterium sp,0
S46,13718,Bacteria , Bacteroidetes , Bacteroidetes (class) , Bacteroidetes (order) , Bacteroidetes (family) , Cytophagales , Cytophagales sp Bacteroidetes,0
S46,8130,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Oxalobacteraceae , Massilia , Massilia sp,0
S46,3951,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,2414,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Chitinophaga , Chitinophaga sp,0
S46,5733,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Cytophaga , Cytophaga sp,0
S46,5529,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12654,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,11436,Bacteria , Proteobacteria , Alphaproteobacteria , Rhodobacterales , Rhodobacteraceae , Amaricoccus , Amaricoccus sp,0
S46,2362,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,12673,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,7913,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,6012,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0.00122561
S46,487,Bacteria , Bacteroidetes , Cytophagia , Cytophagales , Cytophagaceae , Cytophaga , Cytophaga sp,0
S46,6885,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Chitinophaga , Chitinophaga sp,0
S46,5405,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,3902,Bacteria , Deinococcus-Thermus , Deinococci , Thermales , Thermaceae , Marinithermus , Marinithermus sp,0
S46,1400,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,11781,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Comamonadaceae , Schlegelella , Schlegelella sp,0
S46,7437,Bacteria , Proteobacteria , Betaproteobacteria , Burkholderiales , Alcaligenaceae , Achromobacter , Achromobacter sp,0
S46,846,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,11960,Bacteria , Proteobacteria , Alphaproteobacteria , Sphingomonadales , Sphingomonadaceae , Sphingosinicella , Sphingosinicella sp,0
S46,390,No Hit , No Hit , No Hit , No Hit , No Hit , No Hit , No Hit,0
S46,621,Bacteria , Proteobacteria , Alphaproteobacteria , Sphingomonadales , Sphingomonadaceae , Sphingomonas , Sphingomonas oligophenolica,0
S46,10551,Bacteria , Bacteroidetes , Sphingobacteriia , Sphingobacteriales , Chitinophagaceae , Segetibacter , Segetibacter sp,0
