Kingdom	Phylum	Class	Order	Family	Genus	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Geodermatophilaceae	Blastococcus	0.374253088651	0.476070104483	0.819032018438	0.475118263133	0.0429558185088	0.00747289208397	1.20084221966	0.336826832144	0.700081168831	2.65563778842	2.3208274847	1.3433523553	4.16175893208	0.580622359851	2.25769909639	0.122331832939	1.34947465877	3.34560900996	3.15064963745	3.8732630731	0.308748310497	1.78974172426	0.712979890311	2.57545235278	1.94185586664	2.05157186416	2.05338052053	1.32329173027	3.76530118689	1.10090613043	2.15328856199	0.212337543474	0.112039818753	0.146055915265	2.78373028021	3.1627641051	2.37438341276	1.27566039958	0.960144927536	0.196420776953	0.128689087165	0.089690567542	0.0289258307669	0.00479639311238	1.42527821009	1.70938874564	0.654935406096	0.90763384898	0.141993970586	0.235822691147	0.0212024837195	1.73660610145	0.463541515301	1.48183126462	0.309467610805	0.597181646331	3.79442677361	0.852098837022	2.82619811277	0.370711682654	1.88482765802	1.21269300688
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Geodermatophilaceae	Geodermatophilus	0.0297701320518	0.0368638355241	0	0	0	0	0.0135841880052	0.00777292689562	0.00811688311688	0.097116640434	0.0681393859279	0.131145216744	0.0466234786023	0	0.0223925814695	0.00156835683255	0.036472288075	0.155881607919	0.206117266002	0.0537020876687	0.00132510004505	0.00145507457257	0.208931835989	0.0108402063253	0.0517152215135	0.0131426769004	0.00737300007373	0.00448953937326	0.00372065334673	0.000769864426874	0.00177664072771	0	0	0.0126505123458	0	0	0.005573669983	0	0	0.00992024126027	0	0	0	0	0.0140421498531	0	0	0	0.000426408320079	0	0	0	0.00290621639687	0	0	0.0372343472533	0	0	0	0	0.514422576278	0.0851416342592
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Geodermatophilaceae	Modestobacter	0.246666808429	0.388650151668	0.243804879907	0.0702348736805	0.0154640946632	0.000747289208397	0.89383957074	0.11788939125	0.580357142857	3.09601152004	1.79479142534	1.23347393046	2.25265017668	0.183443006446	1.66627150346	0.0454823481438	1.1811410215	1.66403616453	2.74025543818	3.31610391354	0.116608803965	0.414696253183	0.475319926874	0.512199748869	0.708802741921	0.654505309641	0.464499004645	0.380488461884	0.539494735276	0.148583834387	0.222080090964	0.0137287204833	0.00297450846248	0.10350419192	0.0326537276271	0.0961563450194	0.702282417858	0.985202339365	0.551242236025	0.23213364549	0.0171585449554	0.0797249489262	0.00340303891375	0	0.998162818728	0.0333687244047	0.0251898233114	0.0594284067784	0.00767534976142	0.221982081734	0	0.0622067857235	0.190357173995	0.287821550639	0.068187778652	0.160394111245	0.0916194164016	0.0144969556393	0.251011016595	0.00209441628618	2.09309590753	0.0874427595094
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Glycomycetaceae	Stackebrandtia	0	0	0	0.00275430877178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Gordoniaceae	Gordonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147073242475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Arsenicicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00170151945687	0	0	0	0	0	0	0	0	0.069982633939	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Janibacter	0.0191379420333	0.00421300977418	0.0152378049942	0	0.0395193530281	0.00448373525038	0.0108673504041	0.00129548781594	0.0121753246753	0.197582130538	0.0436092069938	0.0212667919044	0.00981546917943	0	0.0434679522643	0.0376405639811	0.082764038324	0	0.0368066546432	0.0822313217426	0	0.00363768643143	0	0.0731713926955	0.00202804790249	0.0538849752918	0.00737300007373	0.0202029271797	0.00372065334673	0.00769864426874	0.182993994954	0.00457624016108	0.00694051974578	0.00345013973066	0.00408171595339	0	0.153275924533	0.153079247949	0.0802277432712	0.0218245307726	0.00245122070791	0.00249140465394	0.0170151945687	0	0.0526580619493	0	0.0143941847494	0.00180086081147	0.00341126656063	0.0133082782814	0.0151446312282	1.08343485135	0.00145310819844	0	0	0.0408145729507	0	0	0.0077472535986	0	0.00624804748516	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Knoellia	0	0	0.0495228662311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00816343190677	0	0	0	0	0	0	0	0.0340303891375	0	0	0	0	0	0	0.000532331131257	0	6.16365568544	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Lapillicoccus	0	0	0	0	0.00400920972749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000769864426874	0	0	0	0	0	0	0	0	0	0	0	0	0.0646577393612	0	0	0	0	0	0	0	0.0333181887021	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Ornithinicoccus	0	0	0	0.0819406859606	0	0	0	0	0.00608766233766	0.0351629215365	0.00681393859279	0.0708893063481	0	0	0.00131721067468	0	0.0476945305596	0.0701467235635	0.242923920645	0.0352419950326	0	0	0.00522329589971	0	0.00202804790249	0	0.0147460001475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198930456253	0	0	0	0	0	0	0.0829423809647	0	0	0	0.0307899409979	0	0	0	0	0.108299489743	0.00230112525025
