Kingdom	Phlyum	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Firmicutes	32.6578348608	5.15145770138	2.5028094703	1.26422772625	7.25266039703	12.4916864076	8.63954357128	1.25014574238	0.369318181818	6.81490907873	1.4023085624	3.97689008613	1.06007067138	0.154832629294	1.52269553992	6.81921550791	10.600810807	2.41226788254	4.66340314329	3.86990669262	1.14091113879	0.891960712987	5.28075215461	0.283652065511	0.668241783871	0.389023236253	0.387082503871	0.688021908952	0.725527402612	0.18476746245	0.378424475003	1.05619622918	2.56402629465	0.706128598208	1.7428927121	2.23498531667	0.916868712204	0.37681045649	0.619824016563	2.04356969962	5.82287479165	70.9402561164	5.45507137874	24.5263561802	6.48045215723	8.51205824359	8.4421893555	8.23353563003	3.72169181765	0.812869637429	1.220657277	15.2484383505	0.773053561568	0.86571325778	0.991345397325	9.66517729278	0.311160282119	0.219065107439	0.577945118456	40.4976333096	0.541497448714	1.81558782245
Bacteria	Fusobacteria	0	0	0	0	0.00171823274035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112300284154	0.00719458966857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Gemmatimonadetes	1.07810406788	2.62259858443	4.58848402888	0.394554731558	0.092784567979	0.462572019997	0.740338246281	2.2113977018	1.01663961039	1.00967817555	0.881723653906	1.20866267324	2.3851590106	0.50825493529	3.48797386654	0.152130612757	3.48310351116	2.02646090294	2.69976811808	2.1715781701	5.92849760157	2.67151691524	0.475319926874	1.08944073569	5.28407880994	2.12254231942	3.199882032	2.15834605369	1.41012761841	0.410337739524	0.824361297658	2.41442430899	0.617706257374	2.14368681932	4.07355252148	0.821227162868	1.81980324945	0.580916120422	0.679347826087	0.924566485457	0.125012256104	0.17688973043	0.229705126678	0.223032279726	1.63708063705	5.18276960413	1.03638130195	2.88858074159	2.19003313193	0.402974666361	0.390731485688	0.287706383971	4.3665901363	0.0134916351862	2.28691319171	2.92289625938	0.00864334116996	0.0467124126156	0.119307705418	0	0.574820368635	1.59237867317
Bacteria	Ignavibacteriae	0	0	0	0	0	0.00149457841679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673801704922	0	0	0	0	0	0	0	0	0.00259194940515	0	0	0	0	0	0	0	0	0	0
Bacteria	Lentisphaerae	0	0	0	0	0	0	0	0.00129548781594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000903350527105	0	0.00262853538009	0	0.0112238484332	0	0	0	0.000915248032217	0	0.00460018630755	0	0	0	0	0	0	0	0.0274054511934	0	0	0	0	0	0	0	0.0356661857942	0.00302892624565	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Nitrospirae	0.278563378485	0.331774519717	0.0933315555894	0.0523318666639	0.0618563786527	0.783906379608	0.0122257692046	0.147685611017	0.0507305194805	0.023441947691	0.0436092069938	0.155956473966	0.0466234786023	0.11612447197	0.296372401802	0.302692868681	0.2917783046	0.444262582569	0.362545548235	0.255084916426	0.343200911669	0.192797380866	0.127970749543	0.174346651731	0.358964478741	0.136683839764	0.154833001548	0.289575289575	0.0744130669346	0.00692877984187	0.079948832747	0.170236133992	0.0307365874456	0.492219934907	0.0183677217902	0.0389823020349	0.103112894686	0.0471013070613	0.0414078674948	0.156739811912	0.0428963623885	0.00996561861578	0.0476425447925	0.0719458966857	0.183718127245	0.320036402245	0.453416819605	0.0558266851555	0.286119982773	0.179395591234	0.042404967439	0	0.49260367927	0	0.687123000262	0.330096809303	0	0.00161077284881	0	0	0.131208997188	0.18869227052
Bacteria	Planctomycetes	0.370000212644	0.723584428716	0.373326222358	0.226541896479	0.0652928441334	0.523102445878	0.566460639815	0.57390110246	0.0629058441558	0.269582398446	0.407473527849	0.326090809201	0.603651354535	0.144734849122	0.511077741774	0.101943194116	0.735056882742	1.10870793632	0.456402517575	0.714909042089	0.504863117165	0.159330665697	0.410028728127	1.0063324872	0.500927831915	0.954158342971	0.589840005898	1.31543503637	0.141384827176	0.312564957311	0.355328145542	0.160168405638	0.107082304649	0.775131392821	0.0204085797669	0.0545752228488	0.161636429507	0.117753267653	0.117753623188	0.204356969962	0.026963427787	0.254123274702	0.0714638171887	0.15108638304	0.902208128064	0.304868800243	0.129547662744	0.0450215202867	0.3249231399	0.816063624217	0.357413296986	0	0.726554099218	0	0.314712824548	0.659477573466	0	0	0	0	0.245756534416	0.540764433808
Bacteria	Proteobacteria	46.1373253663	50.7920458375	54.9075255709	54.0278322901	69.627372593	67.7948242749	61.2497452965	55.4235597414	85.0730519481	49.472556177	58.3709235612	72.0696132988	56.6401648999	82.6082566183	60.0042150742	73.3928263358	43.4034255895	46.7547397751	50.364385881	52.3226152917	38.6862958153	30.8926882503	71.977017498	53.2769040371	45.5215632193	60.9071075597	55.1905920519	51.6151117895	49.812107006	67.0066901219	52.512169989	50.8026725243	30.8882873772	63.15135763	47.9907753219	27.0225317706	54.1788590698	73.9647525219	80.7324016563	46.906868775	81.8389057751	14.7964522398	71.6373721734	50.7362463428	52.9845419334	31.9232519339	31.5124689625	46.9808568496	34.1843022041	44.2665275508	63.4862941087	10.9172908945	57.293150048	64.7643461054	50.1809598741	48.6509709572	42.7119347255	41.0924261461	66.510172144	19.9932978679	58.7774653754	62.8000092045
Bacteria	Spirochaetes	0.0021264380037	0.00105325244355	0	0	0.0034364654807	0.0231659654603	0.0108673504041	0	0	0	0	0	0.00490773458971	0	0.00131721067468	0	0	0	0	0	0	0	0.00522329589971	0	0.00304207185374	0	0	0	0	0	0	0	0	0.00230009315377	0	0	0	0	0	0	0	0	0.0119106361981	0	0.00117017915443	0	0	0	0	0	0	0	0	0	0	0.000716045139486	0	0	0	0	0	0
Bacteria	TM7	0.021264380037	0.0284378159757	0.177139483057	0.076432068417	0.021191537131	0.000747289208397	0.0176594444067	0.417147076732	0	0.00837212417535	0.0299813298083	0.0248112572218	0.0122693364743	0.0269274137902	0.0184409494455	0.00313671366509	0.0252500455904	0.0155881607919	0.0110419963929	0.0201382828757	0.00795060027032	0.0225536558749	0.211543483938	0.0424574747739	0.00709816765872	0.0170854799706	0.081103000811	0.510685103708	0.0260445734271	0.0238657972331	0.0408627367374	0.00640673622552	0.00297450846248	0.0552022356905	0.0326537276271	0.114348085969	0.011147339966	0.0196255446089	0.00646997929607	0.234117693742	0	0	0.0068060778275	0	0.00585089577214	0.0485363264068	0.0143941847494	0.345765275802	0.0695045561729	0.0463128084193	0.00302892624565	0.754257276898	0.0188904065797	0.764525993884	0.257015473381	0.131036260526	0.0449453740838	0.0789278695918	0.520615441826	0	0	0.0138067515015
Bacteria	Tenericutes	0	0.00526626221773	0.0323803356127	0.000688577192946	0.0246280026117	0.00971475970916	0.0203762820077	0	0.0142045454545	0	0.0109023017485	0	0	0	0	0	0.00140278031058	0.00389704019797	0.00920166366079	0	0	0	0.0104465917994	0.0334239695029	0	0	0	0.00224476968663	0	0.00384932213437	0	0	0	0	0	0	0.0418025248725	0.0785021784355	0.00776397515528	0.00793619300821	0.00122561035396	0.00498280930789	0.100389647956	7.127440165	0.0280842997063	0.0106173214015	0	0	0	0.00319398678754	0	0	0.00435932459531	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	0.0467816360814	1.03008088979	0.0857126530923	0.48613549822	0.0452467954959	0.0418481956702	0.44827820417	0.323871953984	0.00811688311688	0.246140450755	0.303901661238	0.134689682061	0.225755791127	0.00841481680944	0.169920177033	0.0611659164693	0.434861896278	0.485181504647	0.242923920645	0.464858696382	0.13383510455	0.33102946526	0.18542700444	0.183380157002	0.126752993906	0.172169067396	0.24699550247	0.500583640119	0.930163336682	0.00769864426874	0	0.0979315394472	0.062464677712	0.348464112797	0.369395293782	0.244289092752	0.197865284397	0.137378812262	0.0737577639752	0.0416650132931	0.00980488283165	0.149484279237	0.0204182334825	0.0431675380114	0.667002118024	0.186561504626	0.0287883694987	0.0612292675899	0.140288337306	0.0947549413637	0.0757231561411	0	1.34848440815	0	0.0209808549698	0.318640087071	0.00345733646799	0.00161077284881	0.0123956057578	0.0376994931513	0.174945329585	0.0851416342592
No Hit	No Hit	4.24437025539	6.78505224132	8.92744900097	3.44770600508	2.15122739092	4.65785363594	4.32656387964	5.45529919291	2.54464285714	7.51481865979	3.67816405239	4.52982667565	6.92481350609	3.75300829701	11.2041939988	0.762221420618	5.64057962882	9.70752713314	7.27851595568	6.35027186682	28.8434526807	39.273190251	2.14677461478	9.66585064002	15.2134013405	6.71327936074	11.103738111	9.36854628715	29.4824571195	1.73681414703	10.8659346907	16.7115138202	5.29958257731	5.42016951687	5.62664544174	32.2695496245	6.61037259984	5.15366801429	2.60351966874	3.78754811317	1.00990293166	2.01554636504	4.11257252727	5.53743584824	7.26798272816	29.9893826786	31.2173881752	14.920131823	34.5591151175	12.2223227737	11.6038164471	1.85065187528	7.49222587114	1.31993164238	3.94964594807	5.55507819213	7.37968469091	1.34821687446	2.69604425231	0.0795878188749	8.49317921483	6.37411694319
