Kingdom	Phylum	Class	Order	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
Bacteria	Actinobacteria	Actinobacteria (class)	Unknown	0.0446551980777	0.169573643411	0.00952362812137	0.0358060140332	0.00286372123392	0.0702451855893	0.0326020512124	0.0453420735578	0.00405844155844	0.00334884967014	0.0109023017485	0.0319001878567	0.154593639576	0.0387081573234	0.0395163202403	0.0250937093207	0.133264129505	0.175366808909	0.130663623983	0.139289789891	0.0132510004505	0.0371044016006	0.0443980151476	0.00993685579816	0.306235233276	0.0118284092104	0.17695200177	0.0224476968663	0	0.000769864426874	0	0.0658978583196	0.022804564879	0.0448518164986	0	0	0.0640972048045	0.0117753267653	0.00905797101449	0.249990079759	0	0.00498280930789	0	0	0.0667002118024	0	0.111554931808	0.0738352932702	0.0422144236878	0	0	0	0.0188904065797	0	0.0734329923944	0.162542246663	0	0	0	0	0.0124960949703	0.0851416342592
Bacteria	Bacteroidetes	Bacteroidetes (class)	Bacteroidetes (order)	0	0.00105325244355	0	0	0	0	0	0	0	0	0	0	0.00245386729486	0	0	0.00156835683255	0.00841668186345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0.0276436940481	0.307549713515	0.0228567074913	0.141158324554	0.463922839895	0.202515375475	0.119540854445	0.0336826832144	0	0.00167442483507	0.00136278771856	0.0992450288874	0.277287004319	0.0471229741329	0.0395163202403	0.0188202819906	0.151500273542	0.187057929503	0.0404873201075	0.110760555817	0.0583044019823	0	0.313397753983	0	0.00101402395125	0.0893702029229	0.0442380004424	0.151521953848	0	0	0	0.0118982244188	0.0208215592373	0.0770531206514	0.079593461091	0	0.044589359864	0.0471013070613	0.0569358178054	0	0.00122561035396	0	0.306273502237	0.714662573745	0.250418339048	0.0682542090096	0	0.0216103297376	0.188898885795	0.0143729405439	0.0302892624565	0.0129597470257	0.173646429713	0.00899442345746	0.0419617099397	0.238443031449	0	0.00161077284881	0.0077472535986	0	0.0104134124753	0.271532779529
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	0.0127586280222	0.333881024604	0.0990457324622	3.92764430857	0.919254516088	0.874328373824	0.487672349385	0.00518195126375	0.379464285714	0.299722045477	0.212594884095	0.10987842484	0.488319591676	0.440936400815	0.0605916910351	0.0156835683255	0.556903783298	0.627423471873	0.0552099819647	0.0637712291065	0.0954072032438	0.0567479083303	0.54322277357	0.00722680421684	0.00101402395125	0.0972558090632	0.0479245004792	0.0594863966957	0.401830561447	1.37805732411	0.0142131258217	0.0183049606443	0	0.0793532138052	0.922467805465	0.0207905610853	0.48212245353	0.537739922283	0.795807453416	0.0317447720329	0.00857927247769	0.00498280930789	0.459410253356	0.414888004221	0.227014755959	0.294251478841	0.00359854618734	1.31462839237	0.260535483568	0.000532331131257	3.15917007421	4.30781991136	0.971402830655	0.24734664508	0.0996590611067	0.178295239732	2.58435900982	0.953577526497	0.192131889245	0.00418883257236	0.0499843798813	2.03419472122
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	0.567758946988	1.24599764071	0.148568598693	0.206573157884	8.62610110081	1.63656336639	0.10459824764	0.00777292689562	0.00202922077922	0	0.00545115087423	0.0425335838089	0.00245386729486	0.0235614870664	0.0737637977818	0	0.0519028714913	0.528048946825	0.0184033273216	0.0134255219172	0.00795060027032	0.00582029829029	2.7135022199	0.000903350527105	0.00608414370747	0.0486279045316	0.00737300007373	0.0347939301428	0	0.00461918656125	0.00177664072771	0.0109829763866	0.000991502820826	0.22540912907	0.128574052532	0	0.175570604465	0.266907406681	0.16433747412	0.0257926272767	0.00245122070791	0	9.51489680284	3.71240826898	0.21414278526	0.00455028060064	0.00719709237468	0.106250787877	0.00639612480119	0.00159699339377	0.0878388611237	2.92890282782	0.0762881804179	0.0337290879655	0.29897718332	0.11098699662	0.00691467293597	0.00644309139525	0.0790219867057	0	0.00416536499011	0.299146282532
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	0.96540285368	4.80809740479	3.94087731662	3.22391841737	2.1191537131	1.22405972335	2.19384636283	6.34918578591	2.98295454545	7.22681758816	4.39090202919	2.03452309219	5.33716136631	1.35983439641	2.89786348429	0.138015401264	3.57708979197	2.72792813858	1.73727409916	3.75914613681	1.09585773726	0.945070934885	1.98485244189	2.3929755463	1.48148899277	3.08064346546	1.73634151736	3.69040136482	2.23983331473	5.56381021302	1.89212237501	0.451217279883	0.598867703779	3.40988810047	1.91432478214	0.205306790717	5.87186132709	3.93295913962	3.79528985507	0.793619300821	5.13285616237	0.597937116947	1.6215480424	0.896925512015	3.90020712171	1.55164568482	1.33146208932	8.62612328693	4.47003841939	3.92700675528	4.47675299106	0.0285114434566	6.14592112529	3.7101996762	11.1723052714	2.84556338432	13.926151293	8.93817853806	4.67624227211	3.43484270934	2.32219098198	1.74655406494
Bacteria	Bacteroidetes	Unknown	Unknown	0.2296553044	0.718318166498	0.411420734843	1.24357041046	2.30300461632	0.130028322261	0.372206751341	0.485807930976	0.523538961039	1.65935501155	0.573733629513	0.521036401659	0.537396937574	0.139685959037	0.455754893438	0.0470507049764	0.715417958394	0.508563745835	0.333100224521	0.592401154595	0.075530702568	0.0669334303383	0.851397231653	0.125565723268	0.161229808248	0.352223740932	0.151146501511	0.242435126156	0.189753320683	0.0723672561262	0.0675123476531	0.0942705473183	0.0208215592373	0.349614159373	0.587767097288	0.0389823020349	0.693921912884	0.490638615222	0.516304347826	0.307527479068	0.0441219727424	0.0274054511934	0.476425447925	0.112715238141	0.651789789017	0.241164871834	0.806074345964	0.327756667687	0.189325294115	0.421073924824	1.86278964107	0.300666130997	0.435932459531	2.28908076992	0.634670862838	0.544194306009	6.5654819527	0.998679166264	2.93775856459	0	0.883057377903	0.237015900775
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	0	0	0	0	0.000572744246784	0.0179349410015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259882013566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	0	0	0	0	0.00114548849357	0.115829827301	0	0	0	0	0	0	0	0	0	0	0	0.00584556029695	0	0	0.00132510004505	0.00145507457257	0.00261164794986	0	0.00304207185374	0	0	0	0	0	0	0.0109829763866	0	0	0	0	0	0	0	0	0	0	0.0238212723962	0	0.152123290076	0	0	0.00180086081147	0.0166299244831	0	0.321066182038	0	0.00363277049609	0	0.00524521374246	0.000716045139486	0	0	0	0	0	0
Bacteria	Chloroflexi	Caldilineae	Caldilineales	0.0042528760074	0.0663549039434	0.00571417687282	0.025477356139	0.0148913504164	0.00822018129236	0.0203762820077	0.0272052441347	0	0	0.00272557543711	0	0.0392618767177	0.0201955603427	0.00395163202403	0.00627342733019	0.0182361440375	0.0116911205939	0.00368066546432	0.00503457071894	0	0.000727537286286	0	0	0	0.00131426769004	0.00368650003687	0	0	0	0	0	0	0.00920037261509	0	0	0.0250815149235	0.0549515249048	0.0194099378882	0.00198404825205	0	0	0.0663592588181	0	0.00702107492657	0	0	0	0	0	0	0	0.0174372983812	0	0	0.0179011284871	0	0	0	0	0	0
