#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
4476	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Oxalobacteraceae 	 Massilia 	 Massilia sp	1	6	8	0	0	0	17	18	2	8	15	1	0	1	0	0	9	0	7	1	1	0	0	24	0	35	4	0	0	22	26	9	0	1	0	0	0	1	1	1	0	0	0	0	8	0	0	1	2	2	0	0	3	0	0	7	0	0	0	0	1	0
4477	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	7	0	7	0	0	0	0	0	0	1	3	0	4	0	1	0	11	0	4	1	1	4	0	0	2	10	3	3	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4478	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Bradyrhizobiaceae 	 Bradyrhizobium 	 Bradyrhizobium sp	21	39	21	105	115	1	87	3	1	0	89	0	1	8	0	26	206	156	3	12	4	0	54	42	1	5	3	2	0	112	0	1	0	0	0	0	0	12	17	12	0	0	7	0	21	0	2	2	0	4	3	0	157	97	40	25	0	0	154	0	0	0
4479	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Actinomycetales 	 Kineosporiaceae 	 Kineosporia 	 Kineosporia aurantiaca	34	7	8	0	0	0	6	0	1	3	0	4	0	0	1	0	5	0	28	3	0	0	9	7	81	11	30	13	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	11	0	0	0	5	0	0	1	0	0	0	0	1	0
4480	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Oxalobacteraceae 	 Janthinobacterium 	 Janthinobacterium sp	0	2	0	0	0	0	3	0	7	0	0	1	5	0	1	0	0	0	7	0	0	0	0	1	0	4	2	0	10	0	0	0	0	0	26	2	2	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0	4	7	0	0	1	7	8	0	0	0
4481	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Actinomycetales 	 Micrococcaceae 	 Arthrobacter 	 Arthrobacter sp	0	3	0	0	0	0	0	1	0	0	0	3	0	19	3	0	3	0	8	8	0	5	0	1	0	0	1	0	0	2	0	0	0	0	9	1	3	0	4	0	0	0	1	0	2	0	4	3	5	0	0	0	16	0	0	4	0	0	0	0	4	0
4482	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Actinomycetales 	 Streptosporangiaceae 	 Streptosporangium 	 Streptosporangium sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4483	Bacteria 	 Bacteroidetes 	 Sphingobacteriia 	 Sphingobacteriales 	 Chitinophagaceae 	 Niastella 	 Niastella sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	9	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0
4484	Bacteria 	 Nitrospirae 	 Nitrospira (class) 	 Nitrospirales 	 Nitrospiraceae 	 Nitrospira 	 Nitrospira sp	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	13
4485	Bacteria 	 Acidobacteria 	 Acidobacteriia 	 Acidobacteriales 	 Acidobacteriaceae 	 Acidobacterium 	 Acidobacterium sp	0	8	0	0	0	1	0	1	0	0	0	1	0	0	1	1	27	12	9	2	2	0	8	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	21	0	0	0	0	0	0
4486	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Comamonadaceae 	 Variovorax 	 Variovorax sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	2	2	16	0	0	0
4487	Bacteria 	 Bacteroidetes 	 Flavobacteriia 	 Flavobacteriales 	 Flavobacteriaceae 	 Flavobacterium 	 Flavobacterium sp	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4488	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	3	0	22	0	0	21	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
4489	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Hyphomicrobiaceae 	 Hyphomicrobium 	 Hyphomicrobium sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
4490	Bacteria 	 TM7 	 TM7 (class) 	 TM7 (order) 	 TM7 (family) 	 TM7 (genus) 	 TM7 uncultured	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4491	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Burkholderiaceae 	 Burkholderia 	 Burkholderia sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	6	0	0	32	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4492	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4493	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
