OTUId,S17
OTU_331,0.136588697
OTU_1146,0.00379413
OTU_380,0.015176522
OTU_4560,0
OTU_57,0
OTU_1321,0
OTU_838,0.020867718
OTU_504,0
OTU_808,0
OTU_92,0
OTU_758,0
OTU_257,0
OTU_767,0
OTU_209,0
OTU_96,0
OTU_54,0.001897065
OTU_2438,0.121412175
OTU_90,0.011382391
OTU_409,0
OTU_2320,0
OTU_156,0.07967674
OTU_79,0
OTU_1125,0
OTU_1132,0
OTU_253,0
OTU_991,0.022764783
OTU_246,0
OTU_692,0
OTU_364,0.077779675
OTU_6725,0.053117827
OTU_38,0
OTU_557,0
OTU_3371,0.041735435
OTU_211,0
OTU_875,0.791076205
OTU_144,0
OTU_111,0.043632501
OTU_2326,0
OTU_52,0
OTU_308,0
OTU_98,0
OTU_161,0
OTU_3515,0.009485326
OTU_124,0
OTU_867,0
OTU_192,0
OTU_899,0.041735435
OTU_149,0
OTU_976,0
OTU_1413,0.009485326
OTU_2125,0
OTU_780,0.00379413
OTU_84,0
OTU_612,0.051220761
OTU_109,0
OTU_381,0
OTU_759,0
OTU_1020,0
OTU_324,0.055014892
OTU_339,0
OTU_36,0
OTU_911,0
OTU_1602,0.189706524
OTU_215,0
OTU_7430,0.015176522
OTU_561,0
OTU_342,0
OTU_549,0
OTU_313,0.070191414
OTU_434,0
OTU_235,0
OTU_7799,0
OTU_435,0.017073587
OTU_1255,0
OTU_1644,0.062603153
OTU_143,0.077779675
OTU_665,0.022764783
OTU_2837,0.011382391
OTU_47,0
OTU_5292,0.022764783
OTU_479,0.005691196
OTU_4130,0.001897065
OTU_245,0
OTU_297,0
OTU_310,0.081573805
OTU_2792,0
OTU_346,0
OTU_189,0
OTU_1307,0
OTU_7951,0
OTU_129,0
OTU_120,0.015176522
OTU_475,0
OTU_657,0
OTU_260,0
OTU_3916,0
OTU_747,0.001897065
OTU_44,0
OTU_399,0.261795003
OTU_1027,0
OTU_234,0
OTU_889,0.015176522
OTU_446,0.020867718
OTU_1872,0
OTU_91,0
OTU_1463,0.032250109
OTU_131,0.001897065
OTU_330,0
OTU_1495,0.032250109
OTU_1140,0.013279457
OTU_105,0
OTU_1077,0
OTU_205,0
OTU_728,0
OTU_588,0
OTU_738,0
OTU_141,0
OTU_770,0.009485326
OTU_723,0.026558913
OTU_726,0
OTU_158,0
OTU_344,0.00379413
OTU_400,0
OTU_459,0
OTU_170,0
OTU_461,0
OTU_491,0.005691196
OTU_1424,0.072088479
OTU_5296,0.00379413
OTU_1044,0
OTU_295,0
OTU_2362,0.011382391
OTU_320,0
OTU_137,0
OTU_7537,0.001897065
OTU_608,0
OTU_1880,0.072088479
OTU_282,0
OTU_6901,0.011382391
OTU_617,0
OTU_218,0.098647392
OTU_450,0.001897065
OTU_936,0
OTU_541,0
OTU_405,0
OTU_6154,0
OTU_2135,0
OTU_231,0.005691196
OTU_159,0
OTU_362,0
OTU_868,0
OTU_130,0
OTU_182,0
OTU_594,0
OTU_593,0
OTU_4672,0
OTU_1624,0.134691632
OTU_715,0.005691196
OTU_341,0
OTU_165,0
OTU_1106,0
OTU_513,0
OTU_1094,0.005691196
OTU_169,0.034147174
OTU_2073,0
OTU_85,0
OTU_4496,0
OTU_648,0
