Kingdom	Phylum	Class	Sample	Percentage
Bacteria	Proteobacteria	Gammaproteobacteria	S10	3.33565048871
Bacteria	Spirochaetes	Spirochaetia	S10	0.00105325244355
Bacteria	TM7	TM7 (class)	S10	0.0284378159757
Bacteria	Tenericutes	Mollicutes	S10	0.00526626221773
Bacteria	Verrucomicrobia	Opitutae	S10	0.581395348837
Bacteria	Verrucomicrobia	Spartobacteria	S10	0.00631951466127
Bacteria	Verrucomicrobia	Verrucomicrobiae	S10	0.442366026289
No Hit	No Hit	No Hit	S10	6.78505224132
Bacteria	Acidobacteria	Acidobacteria (class)	S11	0.0533323174797
Bacteria	Acidobacteria	Acidobacteriia	S11	7.76937582141
Bacteria	Acidobacteria	Holophagae	S11	1.28188034514
Bacteria	Acidobacteria	Solibacteres	S11	0.428563265462
Bacteria	Actinobacteria	Actinobacteria (class)	S11	10.9826479496
Bacteria	Bacteroidetes	Bacteroidetes (class)	S11	0
Bacteria	Bacteroidetes	Bacteroidia	S11	0.0342850612369
Bacteria	Bacteroidetes	Cytophagia	S11	0.0990457324622
Bacteria	Bacteroidetes	Flavobacteriia	S11	0.356183691739
Bacteria	Bacteroidetes	Sphingobacteriia	S11	4.1427782328
Bacteria	Chlamydiae	Chlamydiia	S11	0
Bacteria	Chloroflexi	Anaerolineae	S11	0
Bacteria	Chloroflexi	Caldilineae	S11	0.00571417687282
Bacteria	Chloroflexi	Chloroflexi (class)	S11	0.0190472562427
Bacteria	Chloroflexi	Ktedonobacteria	S11	0.159996952439
Bacteria	Chloroflexi	Thermomicrobia	S11	0
Bacteria	Chrysiogenetes	Chrysiogenetes (class)	S11	0
Bacteria	Cyanobacteria	Cyanobacteria (class)	S11	0
Bacteria	Cyanobacteria	Gloeobacteria	S11	0
Bacteria	Deferribacteres	Deferribacteres (class)	S11	2.97327669949
Bacteria	Deinococcus-Thermus	Deinococci	S11	0.00571417687282
Bacteria	Fibrobacteres	Fibrobacteria	S11	0
Bacteria	Firmicutes	Bacilli	S11	1.19616769204
Bacteria	Firmicutes	Clostridia	S11	1.30664177825
Bacteria	Firmicutes	Erysipelotrichia	S11	0
Bacteria	Firmicutes	Negativicutes	S11	0
Bacteria	Fusobacteria	Fusobacteriia	S11	0
Bacteria	Gemmatimonadetes	Gemmatimonadetes (class)	S11	4.58848402888
Bacteria	Ignavibacteriae	Ignavibacteria	S11	0
Bacteria	Lentisphaerae	Lentisphaeria	S11	0
Bacteria	Nitrospirae	Nitrospira (class)	S11	0.0933315555894
Bacteria	Planctomycetes	Phycisphaerae	S11	0.00380945124855
Bacteria	Planctomycetes	Planctomycetia	S11	0.369516771109
Bacteria	Proteobacteria	Alphaproteobacteria	S11	25.7061770252
Bacteria	Proteobacteria	Betaproteobacteria	S11	25.028094703
Bacteria	Proteobacteria	Deltaproteobacteria	S11	0.137140244948
Bacteria	Proteobacteria	Epsilonproteobacteria	S11	0.0228567074913
Bacteria	Proteobacteria	Gammaproteobacteria	S11	4.01325689034
Bacteria	Spirochaetes	Spirochaetia	S11	0
Bacteria	TM7	TM7 (class)	S11	0.177139483057
Bacteria	Tenericutes	Mollicutes	S11	0.0323803356127
Bacteria	Verrucomicrobia	Opitutae	S11	0.0266661587398
Bacteria	Verrucomicrobia	Spartobacteria	S11	0.00190472562427
Bacteria	Verrucomicrobia	Verrucomicrobiae	S11	0.0571417687282
No Hit	No Hit	No Hit	S11	8.92744900097
Bacteria	Acidobacteria	Acidobacteria (class)	S12	0
Bacteria	Acidobacteria	Acidobacteriia	S12	8.9225832662
Bacteria	Acidobacteria	Holophagae	S12	0.81802970522
Bacteria	Acidobacteria	Solibacteres	S12	0.0227230473672
Bacteria	Actinobacteria	Actinobacteria (class)	S12	21.0649534866
Bacteria	Bacteroidetes	Bacteroidetes (class)	S12	0
Bacteria	Bacteroidetes	Bacteroidia	S12	0.141846901747
Bacteria	Bacteroidetes	Cytophagia	S12	3.93590723488
Bacteria	Bacteroidetes	Flavobacteriia	S12	0.846949947324
Bacteria	Bacteroidetes	Sphingobacteriia	S12	3.86291805243
Bacteria	Chlamydiae	Chlamydiia	S12	0
Bacteria	Chloroflexi	Anaerolineae	S12	0
Bacteria	Chloroflexi	Caldilineae	S12	0.025477356139
Bacteria	Chloroflexi	Chloroflexi (class)	S12	0.30848258244
Bacteria	Chloroflexi	Ktedonobacteria	S12	0.0241002017531
Bacteria	Chloroflexi	Thermomicrobia	S12	0
Bacteria	Chrysiogenetes	Chrysiogenetes (class)	S12	0
Bacteria	Cyanobacteria	Cyanobacteria (class)	S12	0
Bacteria	Cyanobacteria	Gloeobacteria	S12	0
Bacteria	Deferribacteres	Deferribacteres (class)	S12	0.00206573157884
Bacteria	Deinococcus-Thermus	Deinococci	S12	0.0364945912261
Bacteria	Fibrobacteres	Fibrobacteria	S12	0.0110172350871
